wavelength_nm,chlorophyll-a,chlorophyll-b,fucoxanthin,prasinoxanthin
764.3,0.0,0.0,0.000362524,8.06888e-05
763.5,0.0,0.0,0.00043546,0.000139631
762.6,0.0,0.0,0.000352794,0.000111864
761.8,0.0,0.0,0.000398189,4.46994e-05
760.9,0.0,0.0,0.000382845,9.53691e-05
760.1,0.0,0.0,0.000375534,8.08459e-05
759.2,0.0,0.0,0.000413276,0.000134466
758.3,0.0,0.0,0.000470652,0.000131918
757.5,0.0,0.0,0.000365814,6.4554e-05
756.6,0.0,6.7e-05,0.000483433,7.47508e-05
755.8,0.0,4.03e-05,0.00042577,0.000105476
754.9,0.0,0.0,0.000388865,5.1791e-05
754.1,0.0,0.0,0.000389053,7.39579e-05
753.2,0.0,0.0,0.000398087,0.000103602
752.4,0.0,0.0,0.000308566,9.50665e-05
751.5,0.0,0.0,0.000383961,7.07486e-05
750.7,0.0,0.0,0.000342551,6.1e-05
749.8,0.0,0.0,0.000359286,5.72599e-05
749.0,0.0,0.0,0.000402784,4.02378e-05
748.1,0.0,0.0,0.000423518,3.4191e-05
747.3,0.0,0.0,0.000404569,0.000104377
746.4,0.0,0.0,0.00037967,0.000119629
745.5,0.0,1.97e-05,0.000336645,9.28892e-05
744.7,0.0,0.0,0.000394802,5.93842e-05
743.8,0.0,0.0,0.000321106,0.000117301
743.0,0.0,0.0,0.000409284,9.86456e-05
742.1,0.0,0.0,0.000392197,0.000130989
741.3,0.0,0.0,0.000423994,0.000129713
740.4,0.0,0.0,0.000432844,0.000117122
739.6,0.0,0.0,0.000330757,0.000126737
738.7,0.0,0.0,0.000381498,6.9105e-05
737.9,0.0,0.0,0.000389932,0.000101647
737.0,0.0,0.0,0.00030768,8.48589e-05
736.2,0.0,0.0,0.000357263,6.81066e-05
735.3,0.0,0.0,0.000370284,9.78185e-05
734.5,0.0,0.0,0.000327081,0.000105665
733.6,0.0,0.0,0.000306785,1.19332e-05
732.7,0.0,2.55e-05,0.000391376,4.19095e-05
731.9,0.0,0.0,0.000321302,8.36781e-05
731.0,0.0,0.0,0.0003059,6.86135e-05
730.2,0.0,0.0,0.000287724,5.33059e-05
729.3,0.0,0.0,0.000301274,4.59485e-05
728.5,0.0,0.0,0.000285104,7.80922e-05
727.6,0.0,0.0,0.00030806,7.71655e-05
726.8,0.0,0.0,0.000256933,5.96014e-05
725.9,0.0,0.0,0.000270796,1.38809e-05
725.1,0.0,0.0,0.000303691,3.78454e-06
724.2,0.0,6.88e-06,0.000314128,5.47216e-05
723.4,0.0,0.0,0.000271671,8.15803e-05
722.5,0.0,0.0,0.000316968,8.15759e-05
721.7,0.0,0.0,0.000336881,8.31975e-05
720.8,0.0,0.0,0.000325996,0.000110781
719.9,0.0,0.0,0.000362796,5.51304e-05
719.1,0.0,0.0,0.000357129,6.6211e-05
718.2,0.0,0.0,0.000344558,0.000104554
717.4,0.0,0.0,0.000303636,9.255e-05
716.5,0.0,3.21e-05,0.000338749,6.62967e-05
715.7,0.0,0.0,0.000304898,0.000140235
714.8,0.0,0.0,0.000350778,6.75511e-05
714.0,0.0,0.0,0.00030726,0.000126331
713.1,0.0,0.0,0.000303653,6.03257e-05
712.3,0.0,0.0,0.00029435,0.000111208
711.4,0.0,0.0,0.000321018,8.86328e-05
710.6,0.0,0.0,0.000286062,0.000123466
709.7,0.0,0.0,0.000297742,6.44184e-05
708.9,0.0,0.0,0.000350512,7.73923e-05
708.0,0.0,3.63e-06,0.000269724,7.46953e-05
707.1,0.0,0.0,0.000317951,0.000106463
706.3,0.0,0.0,0.000318352,5.23622e-05
705.4,8.05e-06,0.0,0.000313969,0.000105433
704.6,0.0,0.0,0.000275213,5.7622e-05
703.7,0.0,0.0,0.000264754,7.21417e-05
702.9,0.0,0.0,0.000343986,7.36861e-05
702.0,7.74e-06,9.07e-06,0.000275556,9.65084e-05
701.2,0.0,0.0,0.000288541,8.05831e-05
700.3,8.61e-06,0.0,0.000280489,0.000137157
699.5,4.14e-05,0.0,0.00027416,6.68837e-05
698.6,8.37e-06,1.27e-05,0.00024409,9.72866e-05
697.8,7.1e-06,0.0,0.000271762,0.000113867
696.9,7.56e-06,0.0,0.000234685,5.74741e-05
696.1,6.43e-05,0.0,0.00024256,4.70788e-05
695.2,0.000110111,4.6e-06,0.000236286,7.64932e-05
694.3,0.000147517,1.14e-05,0.000254059,7.63366e-06
693.5,0.000159212,2.31e-05,0.000233417,3.96049e-05
692.6,0.000199518,0.0,0.000237966,7.73859e-05
